change_id,account_id,old_beneficiary,new_beneficiary,change_ts,channel
BCH000063,ACC000066,BEN57318,BEN61990,2026-09-14 15:43:02,internet
BCH000064,ACC002776,BEN73051,BEN32144,2026-09-14 15:40:21,mobile
BCH000065,ACC002548,BEN27518,BEN86108,2026-09-14 15:41:23,internet
BCH000066,ACC002943,BEN91407,BEN84065,2026-09-14 15:41:21,internet
BCH000067,ACC003997,BEN10518,BEN36398,2026-09-14 15:44:04,mobile
BCH000068,ACC004177,BEN78791,BEN51914,2026-09-14 15:41:21,mobile
BCH000069,ACC000316,BEN16913,BEN57960,2026-09-14 15:45:13,internet
BCH000070,ACC001865,BEN67656,BEN78934,2026-09-14 15:40:24,internet
BCH000071,ACC000813,BEN13726,BEN90300,2026-09-14 15:40:28,branch
BCH000072,ACC001116,BEN80826,BEN99217,2026-09-14 15:42:10,mobile
BCH000073,ACC004898,BEN41395,BEN29790,2026-09-14 15:42:58,internet
BCH000074,ACC001785,BEN98240,BEN17165,2026-09-14 15:42:29,mobile
BCH000075,ACC003417,BEN95128,BEN52563,2026-09-14 15:41:44,branch
BCH000076,ACC000185,BEN55762,BEN23429,2026-09-14 15:41:24,internet
BCH000077,ACC001263,BEN71183,BEN50431,2026-09-14 15:44:17,internet
BCH000078,ACC000686,BEN37201,BEN86355,2026-09-14 15:41:19,branch
BCH000079,ACC004460,BEN43517,BEN49112,2026-09-14 15:40:56,internet
BCH000080,ACC004265,BEN68350,BEN72304,2026-09-14 15:41:39,internet
BCH000081,ACC002000,BEN42631,BEN30133,2026-09-14 15:45:00,branch
BCH000082,ACC004350,BEN81219,BEN27049,2026-09-14 15:42:48,mobile
BCH000083,ACC003612,BEN28150,BEN90600,2026-09-14 15:41:37,internet
BCH000084,ACC003466,BEN69445,BEN28118,2026-09-14 15:43:56,mobile
BCH000085,ACC002821,BEN85855,BEN62989,2026-09-14 15:45:33,branch
BCH000086,ACC000238,BEN12171,BEN47998,2026-09-14 15:42:20,branch
BCH000087,ACC004461,BEN70143,BEN37665,2026-09-14 15:40:19,internet
BCH000088,ACC004625,BEN82347,BEN76719,2026-09-14 15:43:14,internet
BCH000089,ACC000735,BEN99954,BEN31615,2026-09-14 15:40:32,internet
BCH000090,ACC001832,BEN21101,BEN11720,2026-09-14 15:42:51,mobile
BCH000091,ACC001335,BEN69429,BEN62314,2026-09-14 15:40:06,branch
BCH000092,ACC002212,BEN11649,BEN87244,2026-09-14 15:40:36,internet
BCH000093,ACC002640,BEN12755,BEN61679,2026-09-14 15:45:17,mobile
BCH000094,ACC000070,BEN31165,BEN20586,2026-09-14 15:45:50,mobile
BCH000095,ACC003661,BEN51819,BEN39254,2026-09-14 15:43:57,branch
BCH000096,ACC002567,BEN77246,BEN15999,2026-09-14 15:44:44,branch
BCH000097,ACC001255,BEN51399,BEN90965,2026-09-14 15:41:42,mobile
BCH000098,ACC000666,BEN55606,BEN87086,2026-09-14 15:44:02,branch
BCH000099,ACC003273,BEN22227,BEN59546,2026-09-14 15:44:06,branch
BCH000100,ACC002349,BEN43448,BEN42547,2026-09-14 15:41:21,internet
BCH000101,ACC002850,BEN98288,BEN59935,2026-09-14 15:40:36,branch
BCH000102,ACC001980,BEN13592,BEN83162,2026-09-14 15:41:03,branch
BCH000103,ACC004622,BEN18578,BEN67685,2026-09-14 15:41:11,branch
BCH000104,ACC002562,BEN90665,BEN43909,2026-09-14 15:40:43,mobile
BCH000105,ACC003914,BEN56698,BEN35190,2026-09-14 15:41:12,branch
BCH000106,ACC003903,BEN93287,BEN52683,2026-09-14 15:40:55,internet
BCH000107,ACC002232,BEN38227,BEN29189,2026-09-14 15:42:49,branch
BCH000108,ACC004729,BEN51250,BEN48201,2026-09-14 15:45:15,internet
BCH000109,ACC000571,BEN21302,BEN38151,2026-09-14 15:44:23,branch
BCH000110,ACC002760,BEN72743,BEN91354,2026-09-14 15:43:35,mobile
BCH000111,ACC003947,BEN68806,BEN90860,2026-09-14 15:41:52,mobile
BCH000112,ACC001714,BEN96914,BEN62862,2026-09-14 15:42:31,internet
BCH000113,ACC004043,BEN78010,BEN18358,2026-09-14 15:40:58,internet
BCH000114,ACC001935,BEN97905,BEN56378,2026-09-14 15:44:49,branch
BCH000115,ACC002310,BEN91502,BEN77252,2026-09-14 15:40:42,mobile
BCH000116,ACC001232,BEN22657,BEN29451,2026-09-14 15:41:08,branch
BCH000117,ACC003163,BEN73267,BEN97091,2026-09-14 15:42:57,internet
BCH000118,ACC003121,BEN51057,BEN11362,2026-09-14 15:42:24,branch
BCH000119,ACC002654,BEN92458,BEN14945,2026-09-14 15:43:43,mobile
BCH000120,ACC002257,BEN81284,BEN69533,2026-09-14 15:44:42,mobile
BCH000121,ACC000445,BEN71590,BEN42596,2026-09-14 15:41:14,mobile
BCH000122,ACC004773,BEN56281,BEN19520,2026-09-14 15:44:15,internet
BCH000123,ACC003903,BEN90413,BEN50127,2026-09-14 15:40:42,branch
BCH000124,ACC002097,BEN94910,BEN63626,2026-09-14 15:43:02,mobile
BCH000125,ACC000780,BEN33046,BEN25241,2026-09-14 15:42:33,internet
BCH000126,ACC004149,BEN34974,BEN19819,2026-09-14 15:44:24,branch
BCH000127,ACC000557,BEN87402,BEN95602,2026-09-14 15:45:12,branch
BCH000128,ACC000048,BEN69067,BEN12635,2026-09-14 15:43:47,mobile
BCH000129,ACC003737,BEN81457,BEN83213,2026-09-14 15:45:09,internet
BCH000130,ACC004560,BEN78628,BEN57392,2026-09-14 15:41:46,mobile
BCH000131,ACC001784,BEN62826,BEN90173,2026-09-14 15:44:48,branch
BCH000132,ACC002273,BEN15301,BEN34082,2026-09-14 15:45:49,mobile
BCH000133,ACC003340,BEN61334,BEN50918,2026-09-14 15:45:48,internet
BCH000134,ACC000353,BEN75844,BEN91872,2026-09-14 15:43:31,branch
BCH000135,ACC003921,BEN68419,BEN56918,2026-09-14 15:43:54,mobile
BCH000136,ACC001221,BEN10666,BEN33820,2026-09-14 15:41:55,internet
BCH000137,ACC001485,BEN36767,BEN84682,2026-09-14 15:43:38,branch
BCH000138,ACC004123,BEN16578,BEN28982,2026-09-14 15:42:32,mobile
BCH000139,ACC004071,BEN74396,BEN34898,2026-09-14 15:44:27,branch
BCH000140,ACC000813,BEN71214,BEN45699,2026-09-14 15:42:40,branch
BCH000141,ACC001412,BEN53675,BEN85781,2026-09-14 15:40:27,branch
BCH000142,ACC003912,BEN40491,BEN32737,2026-09-14 15:45:52,branch
BCH000143,ACC003554,BEN43698,BEN69046,2026-09-14 15:44:03,mobile
BCH000144,ACC000750,BEN29331,BEN20629,2026-09-14 15:45:40,branch
BCH000145,ACC003486,BEN68259,BEN40222,2026-09-14 15:40:23,branch
BCH000146,ACC003817,BEN55473,BEN94896,2026-09-14 15:40:34,internet
BCH000147,ACC002705,BEN60908,BEN56945,2026-09-14 15:44:07,branch
BCH000148,ACC000352,BEN52451,BEN52767,2026-09-14 15:46:03,mobile
BCH000149,ACC000663,BEN87942,BEN56483,2026-09-14 15:43:52,mobile
BCH000150,ACC003645,BEN90778,BEN51031,2026-09-14 15:43:34,branch
BCH000151,ACC002346,BEN17776,BEN32461,2026-09-14 15:40:15,mobile
BCH000152,ACC004245,BEN77487,BEN50404,2026-09-14 15:41:31,mobile
BCH000153,ACC003386,BEN42334,BEN33618,2026-09-14 15:45:13,branch
BCH000154,ACC000143,BEN20711,BEN19845,2026-09-14 15:43:47,branch
BCH000155,ACC002076,BEN74683,BEN28433,2026-09-14 15:43:20,mobile
BCH000156,ACC000838,BEN14282,BEN99050,2026-09-14 15:45:25,branch
BCH000157,ACC004145,BEN97066,BEN99523,2026-09-14 15:43:38,internet
BCH000158,ACC003508,BEN12755,BEN13951,2026-09-14 15:41:17,internet
BCH000159,ACC000515,BEN99150,BEN78645,2026-09-14 15:42:51,internet
BCH000160,ACC002714,BEN91921,BEN43939,2026-09-14 15:41:37,branch
BCH000161,ACC001674,BEN59579,BEN35390,2026-09-14 15:43:54,internet
BCH000162,ACC001205,BEN79595,BEN60429,2026-09-14 15:40:20,mobile
BCH000163,ACC004085,BEN62483,BEN20753,2026-09-14 15:43:48,branch
BCH000164,ACC001670,BEN21408,BEN59261,2026-09-14 15:45:16,branch
BCH000165,ACC001558,BEN65277,BEN27105,2026-09-14 15:44:37,internet
BCH000166,ACC003675,BEN19096,BEN48840,2026-09-14 15:40:08,branch
BCH000167,ACC003754,BEN23573,BEN81500,2026-09-14 15:45:07,mobile
BCH000168,ACC003174,BEN24163,BEN33192,2026-09-14 15:45:43,branch
BCH000169,ACC004343,BEN27837,BEN60097,2026-09-14 15:42:55,branch
BCH000170,ACC002822,BEN94835,BEN14029,2026-09-14 15:42:32,mobile
BCH000171,ACC002471,BEN90213,BEN42495,2026-09-14 15:43:54,mobile
BCH000172,ACC001239,BEN31111,BEN13544,2026-09-14 15:44:59,branch
BCH000173,ACC004038,BEN28254,BEN59811,2026-09-14 15:44:22,internet
BCH000174,ACC003657,BEN95657,BEN11578,2026-09-14 15:45:38,mobile
BCH000175,ACC000711,BEN63854,BEN17146,2026-09-14 15:40:22,mobile
BCH000176,ACC002348,BEN39899,BEN26300,2026-09-14 15:44:02,mobile
BCH000177,ACC003559,BEN70821,BEN13157,2026-09-14 15:44:40,internet
BCH000178,ACC002016,BEN17860,BEN71673,2026-09-14 15:43:23,mobile
BCH000179,ACC000713,BEN36303,BEN92596,2026-09-14 15:43:46,internet
BCH000180,ACC004998,BEN95008,BEN93372,2026-09-14 15:41:58,mobile
BCH000181,ACC003914,BEN12950,BEN49895,2026-09-14 15:45:23,branch
BCH000182,ACC004285,BEN45688,BEN78760,2026-09-14 15:41:49,mobile
BCH000183,ACC001929,BEN89221,BEN35939,2026-09-14 15:45:59,branch
BCH000184,ACC003148,BEN14069,BEN71143,2026-09-14 15:45:59,internet
BCH000185,ACC004174,BEN21965,BEN10981,2026-09-14 15:40:15,branch
BCH000186,ACC002756,BEN41847,BEN63121,2026-09-14 15:45:43,branch
BCH000187,ACC000211,BEN39608,BEN41451,2026-09-14 15:45:44,internet
BCH000188,ACC001660,BEN35590,BEN67973,2026-09-14 15:42:37,branch
BCH000189,ACC004113,BEN80551,BEN51663,2026-09-14 15:41:43,internet
BCH000190,ACC001740,BEN43089,BEN34562,2026-09-14 15:43:52,internet
BCH000191,ACC004647,BEN60626,BEN82767,2026-09-14 15:40:28,internet
BCH000192,ACC001340,BEN56044,BEN89751,2026-09-14 15:40:27,branch
BCH000193,ACC000898,BEN54804,BEN83725,2026-09-14 15:45:08,branch
BCH000194,ACC003817,BEN73038,BEN92183,2026-09-14 15:44:22,internet
BCH000195,ACC000408,BEN61752,BEN18497,2026-09-14 15:42:49,internet
BCH000196,ACC004202,BEN10077,BEN96459,2026-09-14 15:41:17,internet
BCH000197,ACC000623,BEN62202,BEN86524,2026-09-14 15:42:42,branch
BCH000198,ACC000188,BEN68402,BEN37341,2026-09-14 15:40:29,branch
BCH000199,ACC000970,BEN12153,BEN55868,2026-09-14 15:42:25,branch
BCH000200,ACC002168,BEN34297,BEN46132,2026-09-14 15:41:00,branch
BCH000201,ACC003924,BEN82236,BEN72063,2026-09-14 15:45:24,mobile
BCH000202,ACC000497,BEN11485,BEN23703,2026-09-14 15:43:38,mobile
BCH000203,ACC002283,BEN98520,BEN35875,2026-09-14 15:40:23,mobile
BCH000204,ACC004683,BEN48333,BEN28661,2026-09-14 15:44:58,internet
BCH000205,ACC002510,BEN19723,BEN37610,2026-09-14 15:43:51,branch
BCH000206,ACC001771,BEN63469,BEN52997,2026-09-14 15:41:57,internet
BCH000207,ACC004914,BEN86458,BEN73786,2026-09-14 15:43:40,internet
BCH000208,ACC004819,BEN12768,BEN68175,2026-09-14 15:45:28,internet
BCH000209,ACC002969,BEN78093,BEN42793,2026-09-14 15:41:10,branch
BCH000210,ACC001033,BEN29477,BEN44663,2026-09-14 15:40:31,branch
BCH000211,ACC000882,BEN67326,BEN54037,2026-09-14 15:45:47,mobile
BCH000212,ACC001697,BEN98291,BEN38456,2026-09-14 15:40:15,internet
BCH000213,ACC002147,BEN97842,BEN31135,2026-09-14 15:43:03,branch
BCH000214,ACC003053,BEN68441,BEN18304,2026-09-14 15:42:25,mobile
BCH000215,ACC001993,BEN69033,BEN93701,2026-09-14 15:44:16,internet
BCH000216,ACC003619,BEN41465,BEN28421,2026-09-14 15:42:48,mobile
BCH000217,ACC002211,BEN43863,BEN60625,2026-09-14 15:45:26,internet
BCH000218,ACC004397,BEN72038,BEN54217,2026-09-14 15:43:41,mobile
BCH000219,ACC003026,BEN15740,BEN60133,2026-09-14 15:40:38,mobile
BCH000220,ACC000479,BEN61689,BEN47026,2026-09-14 15:40:36,mobile
BCH000221,ACC000049,BEN11507,BEN52141,2026-09-14 15:42:51,mobile
BCH000222,ACC004703,BEN78209,BEN40904,2026-09-14 15:43:12,internet
BCH000223,ACC000254,BEN85418,BEN14191,2026-09-14 15:44:14,mobile
BCH000224,ACC002169,BEN58740,BEN52481,2026-09-14 15:41:21,mobile
BCH000225,ACC003313,BEN38258,BEN91348,2026-09-14 15:46:04,mobile
BCH000226,ACC004476,BEN13518,BEN52734,2026-09-14 15:44:32,mobile
BCH000227,ACC004805,BEN55725,BEN90638,2026-09-14 15:41:35,internet
BCH000228,ACC001741,BEN38494,BEN34208,2026-09-14 15:42:38,branch
BCH000229,ACC004099,BEN83630,BEN28316,2026-09-14 15:40:37,mobile
BCH000230,ACC000555,BEN23981,BEN96061,2026-09-14 15:41:17,branch
BCH000231,ACC000570,BEN20386,BEN20754,2026-09-14 15:43:04,mobile
BCH000232,ACC001097,BEN57419,BEN69772,2026-09-14 15:41:45,mobile
BCH000233,ACC004800,BEN71273,BEN43591,2026-09-14 15:44:59,mobile
BCH000234,ACC000494,BEN61129,BEN87018,2026-09-14 15:45:35,internet
BCH000235,ACC004597,BEN78811,BEN28291,2026-09-14 15:43:48,branch
BCH000236,ACC001076,BEN30033,BEN25461,2026-09-14 15:45:22,branch
BCH000237,ACC001913,BEN96212,BEN60013,2026-09-14 15:43:01,mobile
BCH000238,ACC001365,BEN22377,BEN32002,2026-09-14 15:43:43,internet
BCH000239,ACC003965,BEN76127,BEN35597,2026-09-14 15:40:08,mobile
BCH000240,ACC000515,BEN92503,BEN10053,2026-09-14 15:41:40,branch
BCH000241,ACC000556,BEN93093,BEN17204,2026-09-14 15:42:01,internet
BCH000242,ACC004149,BEN51040,BEN93653,2026-09-14 15:44:40,branch
BCH000243,ACC001266,BEN16172,BEN67421,2026-09-14 15:40:45,mobile
BCH000244,ACC002440,BEN96639,BEN99791,2026-09-14 15:45:47,mobile
BCH000245,ACC001865,BEN73189,BEN31057,2026-09-14 15:43:28,mobile
BCH000246,ACC004731,BEN83213,BEN93036,2026-09-14 15:44:50,mobile
BCH000247,ACC000469,BEN91230,BEN70936,2026-09-14 15:44:08,internet
BCH000248,ACC001639,BEN30145,BEN64931,2026-09-14 15:45:57,branch
BCH000249,ACC003990,BEN75935,BEN45877,2026-09-14 15:42:42,branch
BCH000250,ACC002604,BEN49802,BEN52307,2026-09-14 15:40:43,mobile
BCH000251,ACC001505,BEN99123,BEN65369,2026-09-14 15:40:51,mobile
BCH000252,ACC004998,BEN78917,BEN97468,2026-09-14 15:42:07,internet
BCH000253,ACC004950,BEN61285,BEN68541,2026-09-14 15:45:35,branch
BCH000254,ACC004917,BEN98535,BEN14376,2026-09-14 15:41:11,branch
BCH000255,ACC003965,BEN10709,BEN85775,2026-09-14 15:45:05,mobile
BCH000256,ACC003202,BEN96864,BEN80626,2026-09-14 15:42:44,mobile
BCH000257,ACC003675,BEN93573,BEN21606,2026-09-14 15:41:12,branch
BCH000258,ACC002132,BEN40341,BEN35177,2026-09-14 15:40:58,branch
BCH000259,ACC002873,BEN92844,BEN57488,2026-09-14 15:44:36,mobile
BCH000260,ACC003875,BEN42128,BEN48388,2026-09-14 15:41:28,internet
BCH000261,ACC004493,BEN25372,BEN20984,2026-09-14 15:44:08,internet
BCH000262,ACC003745,BEN32852,BEN81906,2026-09-14 15:41:41,internet
BCH000263,ACC002089,BEN87643,BEN57696,2026-09-14 15:43:15,mobile
BCH000264,ACC000927,BEN52310,BEN29495,2026-09-14 15:42:04,mobile
BCH000265,ACC002755,BEN54259,BEN52381,2026-09-14 15:41:24,internet
BCH000266,ACC004340,BEN22681,BEN68637,2026-09-14 15:40:29,internet
BCH000267,ACC001754,BEN89168,BEN98559,2026-09-14 15:40:35,mobile
BCH000268,ACC001596,BEN71102,BEN22503,2026-09-14 15:40:26,branch
BCH000269,ACC004233,BEN59494,BEN83502,2026-09-14 15:41:57,internet
BCH000270,ACC004263,BEN48653,BEN28253,2026-09-14 15:44:14,branch
BCH000271,ACC001303,BEN62231,BEN78828,2026-09-14 15:45:19,internet
BCH000272,ACC002491,BEN43815,BEN86364,2026-09-14 15:45:55,internet
BCH000273,ACC003692,BEN19038,BEN48653,2026-09-14 15:44:56,internet
BCH000274,ACC002131,BEN65873,BEN45235,2026-09-14 15:42:48,internet
BCH000275,ACC001873,BEN34668,BEN45304,2026-09-14 15:41:35,internet
BCH000276,ACC001524,BEN51966,BEN46950,2026-09-14 15:44:46,internet
BCH000277,ACC002323,BEN78512,BEN75499,2026-09-14 15:40:15,branch
BCH000278,ACC000334,BEN87870,BEN79284,2026-09-14 15:43:43,mobile
BCH000279,ACC004371,BEN77847,BEN99108,2026-09-14 15:41:51,internet
BCH000280,ACC001584,BEN32405,BEN70067,2026-09-14 15:43:33,branch
BCH000281,ACC002601,BEN42118,BEN57671,2026-09-14 15:41:47,internet
BCH000282,ACC001593,BEN65849,BEN97942,2026-09-14 15:42:54,branch
BCH000283,ACC004856,BEN33838,BEN84000,2026-09-14 15:41:36,internet
BCH000284,ACC000508,BEN41888,BEN45616,2026-09-14 15:45:50,mobile
BCH000285,ACC003015,BEN88061,BEN20234,2026-09-14 15:44:24,internet
BCH000286,ACC000755,BEN47233,BEN14497,2026-09-14 15:40:30,internet
BCH000287,ACC000483,BEN35197,BEN77280,2026-09-14 15:40:45,branch
BCH000288,ACC002371,BEN70123,BEN25419,2026-09-14 15:42:49,internet
BCH000289,ACC000174,BEN59092,BEN16598,2026-09-14 15:44:02,mobile
BCH000290,ACC004866,BEN11348,BEN54891,2026-09-14 15:43:44,mobile
BCH000291,ACC002534,BEN73961,BEN73851,2026-09-14 15:42:26,mobile
BCH000292,ACC000289,BEN92219,BEN61310,2026-09-14 15:40:31,branch
BCH000293,ACC002384,BEN36796,BEN55138,2026-09-14 15:45:01,branch
BCH000294,ACC003303,BEN27775,BEN95473,2026-09-14 15:44:55,branch
BCH000295,ACC000516,BEN89505,BEN64270,2026-09-14 15:44:47,mobile
BCH000296,ACC000774,BEN80849,BEN78405,2026-09-14 15:44:02,mobile
BCH000297,ACC000144,BEN73139,BEN45312,2026-09-14 15:41:29,branch
BCH000298,ACC003235,BEN53629,BEN48854,2026-09-14 15:44:13,branch
BCH000299,ACC000744,BEN20265,BEN37232,2026-09-14 15:43:17,mobile
BCH000300,ACC000040,BEN14377,BEN81990,2026-09-14 15:40:56,branch
BCH000301,ACC002858,BEN62339,BEN54120,2026-09-14 15:40:13,mobile
BCH000302,ACC004089,BEN93869,BEN75878,2026-09-14 15:45:58,branch
BCH000303,ACC003977,BEN15521,BEN40687,2026-09-14 15:43:46,internet
BCH000304,ACC002814,BEN69566,BEN72366,2026-09-14 15:44:45,branch
BCH000305,ACC002676,BEN99747,BEN96071,2026-09-14 15:43:55,branch
BCH000306,ACC003327,BEN88773,BEN24603,2026-09-14 15:40:40,internet
BCH000307,ACC000316,BEN21494,BEN93902,2026-09-14 15:45:01,mobile
BCH000308,ACC004279,BEN16495,BEN41908,2026-09-14 15:45:58,branch
BCH000309,ACC004882,BEN85527,BEN88531,2026-09-14 15:43:14,internet
BCH000310,ACC003797,BEN41839,BEN91104,2026-09-14 15:41:50,branch
BCH000311,ACC004009,BEN93037,BEN78409,2026-09-14 15:45:24,internet
BCH000312,ACC001348,BEN68186,BEN17495,2026-09-14 15:43:10,mobile
BCH000313,ACC002876,BEN82342,BEN14841,2026-09-14 15:40:40,branch
BCH000314,ACC002788,BEN69373,BEN59306,2026-09-14 15:44:57,mobile
BCH000315,ACC000926,BEN75047,BEN53370,2026-09-14 15:41:42,mobile
BCH000316,ACC003231,BEN78558,BEN51618,2026-09-14 15:42:49,branch
BCH000317,ACC004689,BEN73011,BEN64158,2026-09-14 15:40:09,internet
BCH000318,ACC004957,BEN19166,BEN95993,2026-09-14 15:40:27,mobile
BCH000319,ACC002888,BEN46300,BEN87516,2026-09-14 15:41:38,mobile
BCH000320,ACC001367,BEN93460,BEN39293,2026-09-14 15:41:59,internet
BCH000321,ACC004610,BEN47499,BEN16627,2026-09-14 15:40:25,branch
BCH000322,ACC003448,BEN30840,BEN75299,2026-09-14 15:43:53,branch
BCH000323,ACC003380,BEN87926,BEN70793,2026-09-14 15:45:02,mobile
BCH000324,ACC004819,BEN15531,BEN85463,2026-09-14 15:41:46,branch
BCH000325,ACC000756,BEN13347,BEN12760,2026-09-14 15:40:56,internet
BCH000326,ACC000229,BEN26278,BEN45520,2026-09-14 15:42:14,internet
BCH000327,ACC003978,BEN82045,BEN70936,2026-09-14 15:43:42,internet
BCH000328,ACC002570,BEN95864,BEN24082,2026-09-14 15:43:56,mobile
BCH000329,ACC004254,BEN43565,BEN64263,2026-09-14 15:46:03,mobile
BCH000330,ACC004650,BEN71310,BEN44141,2026-09-14 15:45:55,mobile
BCH000331,ACC000041,BEN46781,BEN75635,2026-09-14 15:42:00,branch
BCH000332,ACC001590,BEN29840,BEN61059,2026-09-14 15:44:12,mobile
BCH000333,ACC001091,BEN89627,BEN17854,2026-09-14 15:41:12,mobile
BCH000334,ACC000226,BEN94306,BEN16176,2026-09-14 15:45:25,branch
BCH000335,ACC002643,BEN49971,BEN42299,2026-09-14 15:43:26,mobile
BCH000336,ACC001744,BEN87730,BEN48799,2026-09-14 15:42:22,mobile
BCH000337,ACC001023,BEN98749,BEN40278,2026-09-14 15:45:29,mobile
BCH000338,ACC001702,BEN31092,BEN90655,2026-09-14 15:44:35,internet
BCH000339,ACC002426,BEN62925,BEN26644,2026-09-14 15:40:23,internet
BCH000340,ACC002140,BEN38382,BEN41322,2026-09-14 15:43:54,internet
BCH000341,ACC004247,BEN56439,BEN55774,2026-09-14 15:41:06,mobile
BCH000342,ACC000737,BEN26715,BEN15604,2026-09-14 15:45:16,mobile
BCH000343,ACC002195,BEN45012,BEN61606,2026-09-14 15:44:22,branch
BCH000344,ACC001474,BEN51663,BEN59194,2026-09-14 15:41:49,mobile
