account_id,onboarding_date,occupation_category,risk_rating,account_type,is_mule
ACC000366,2022-12-17,retired,medium,current,0
ACC000367,2025-05-10,self_employed,low,current,0
ACC000368,2022-10-13,self_employed,low,business,0
ACC000369,2022-01-20,student,low,business,0
ACC000370,2024-04-27,self_employed,low,business,0
ACC000371,2024-10-19,salaried,low,current,0
ACC000372,2022-01-14,salaried,low,business,0
ACC000373,2024-09-28,self_employed,low,current,1
ACC000374,2023-06-27,student,medium,savings,0
ACC000375,2023-10-28,self_employed,low,business,0
ACC000376,2022-07-29,student,low,current,0
ACC000377,2024-09-15,self_employed,low,current,0
ACC000378,2026-06-18,student,medium,current,0
ACC000379,2025-02-26,salaried,low,savings,0
ACC000380,2023-01-06,self_employed,medium,savings,0
ACC000381,2023-09-18,retired,high,business,0
ACC000382,2023-01-30,student,low,current,0
ACC000383,2023-03-17,salaried,low,savings,0
ACC000384,2025-03-16,retired,low,business,0
ACC000385,2021-11-29,student,low,business,0
ACC000386,2023-03-24,student,low,savings,0
ACC000387,2024-07-11,retired,low,business,0
ACC000388,2025-03-15,student,medium,savings,0
ACC000389,2023-10-24,salaried,low,current,0
ACC000390,2023-12-20,student,low,savings,0
ACC000391,2023-01-20,self_employed,low,savings,0
ACC000392,2022-08-14,student,high,savings,0
ACC000393,2024-12-14,salaried,low,business,1
ACC000394,2022-01-11,self_employed,low,current,0
ACC000395,2025-09-14,business,low,business,0
ACC000396,2023-08-05,self_employed,medium,business,0
ACC000397,2023-05-26,salaried,medium,business,0
ACC000398,2025-08-13,retired,medium,current,0
ACC000399,2024-09-03,salaried,low,savings,0
ACC000400,2024-04-18,retired,low,savings,0
ACC000401,2023-08-21,student,low,business,0
ACC000402,2023-08-06,student,low,business,0
ACC000403,2021-11-25,student,low,current,0
ACC000404,2023-05-06,self_employed,high,current,0
ACC000405,2025-02-01,salaried,low,business,0
ACC000406,2024-06-28,business,high,savings,0
ACC000407,2024-01-26,student,low,savings,0
ACC000408,2022-04-16,business,low,business,0
ACC000409,2024-01-28,self_employed,low,savings,0
ACC000410,2024-09-07,student,medium,business,0
ACC000411,2026-01-12,salaried,low,savings,0
ACC000412,2025-02-05,self_employed,low,savings,0
ACC000413,2026-04-05,salaried,low,savings,0
ACC000414,2024-07-07,self_employed,low,savings,0
ACC000415,2021-12-07,business,low,savings,0
ACC000416,2022-09-06,student,low,business,0
ACC000417,2023-12-03,retired,low,business,0
ACC000418,2023-03-21,salaried,low,current,0
ACC000419,2026-08-21,business,low,current,0
ACC000420,2023-12-16,business,low,business,0
ACC000421,2022-01-09,salaried,medium,business,0
ACC000422,2022-08-15,business,low,business,0
ACC000423,2025-05-25,salaried,low,current,0
ACC000424,2024-08-22,retired,low,savings,0
ACC000425,2024-05-14,retired,medium,current,0
ACC000426,2025-05-30,salaried,medium,current,0
ACC000427,2026-01-18,business,low,savings,0
ACC000428,2022-09-07,student,low,business,0
ACC000429,2024-12-22,business,medium,current,0
ACC000430,2026-08-09,business,low,current,0
ACC000431,2023-04-26,business,low,savings,0
ACC000432,2023-11-13,salaried,medium,business,0
ACC000433,2022-01-28,business,medium,savings,0
ACC000434,2025-05-29,retired,low,savings,0
ACC000435,2021-09-18,retired,low,current,0
ACC000436,2026-02-14,retired,low,savings,0
ACC000437,2026-04-12,student,low,business,0
ACC000438,2023-05-18,student,low,savings,0
ACC000439,2024-10-18,retired,low,savings,0
ACC000440,2025-05-14,salaried,low,business,0
ACC000441,2022-04-18,student,medium,business,0
ACC000442,2024-07-04,salaried,low,business,0
ACC000443,2024-05-15,business,low,savings,0
ACC000444,2022-10-05,retired,low,business,0
ACC000445,2024-04-03,retired,medium,business,0
ACC000446,2026-01-05,salaried,high,business,0
ACC000447,2024-04-30,student,low,business,0
ACC000448,2025-03-04,business,low,business,0
ACC000449,2024-06-22,retired,low,savings,0
ACC000450,2025-02-14,student,medium,current,0
ACC000451,2024-03-19,salaried,medium,business,0
ACC000452,2026-06-01,self_employed,medium,business,0
ACC000453,2022-10-13,business,low,business,0
ACC000454,2023-05-02,business,low,business,0
ACC000455,2025-04-11,student,low,current,0
ACC000456,2024-12-03,student,medium,current,0
ACC000457,2023-03-07,salaried,low,savings,0
ACC000458,2026-07-17,business,low,savings,0
ACC000459,2024-04-05,self_employed,medium,savings,0
ACC000460,2025-02-25,salaried,medium,savings,0
ACC000461,2026-05-12,retired,low,current,0
ACC000462,2021-09-14,self_employed,low,business,0
ACC000463,2024-04-14,student,medium,business,0
ACC000464,2024-02-21,business,low,savings,0
ACC000465,2023-06-28,self_employed,low,business,1
ACC000466,2025-05-10,salaried,low,current,0
ACC000467,2026-08-19,retired,low,current,0
ACC000468,2024-06-10,business,low,current,1
ACC000469,2025-08-27,self_employed,medium,savings,0
ACC000470,2025-06-16,student,low,current,0
ACC000471,2025-06-17,business,low,business,0
ACC000472,2023-07-08,student,low,current,0
ACC000473,2026-01-18,business,low,savings,0
ACC000474,2025-09-22,student,medium,savings,0
ACC000475,2023-02-22,student,low,savings,0
ACC000476,2022-06-03,salaried,low,current,0
ACC000477,2024-02-11,self_employed,low,business,0
ACC000478,2026-01-31,self_employed,low,business,0
ACC000479,2024-07-20,student,low,business,0
ACC000480,2022-06-30,salaried,low,current,0
ACC000481,2023-09-12,salaried,medium,business,0
ACC000482,2024-05-04,retired,low,business,0
ACC000483,2023-08-11,retired,low,current,0
ACC000484,2023-05-24,salaried,high,savings,0
ACC000485,2022-12-14,business,low,business,0
ACC000486,2021-11-27,student,low,savings,1
ACC000487,2022-02-03,self_employed,low,current,0
ACC000488,2023-10-13,business,low,current,0
ACC000489,2025-09-28,student,low,savings,0
ACC000490,2022-04-27,salaried,low,savings,0
ACC000491,2025-07-28,business,low,current,0
ACC000492,2025-03-23,student,medium,business,0
ACC000493,2026-08-06,self_employed,low,savings,0
ACC000494,2023-05-10,student,low,business,0
ACC000495,2024-12-18,self_employed,medium,business,0
ACC000496,2025-11-26,salaried,low,business,0
ACC000497,2025-02-05,retired,low,business,1
ACC000498,2023-10-11,business,low,business,0
ACC000499,2022-12-15,business,low,business,0
ACC000500,2021-09-30,student,low,savings,0
ACC000501,2022-08-10,retired,low,current,1
ACC000502,2025-04-25,student,low,current,0
ACC000503,2023-07-24,business,low,current,0
ACC000504,2023-03-13,retired,low,current,0
ACC000505,2026-02-08,student,low,savings,0
ACC000506,2025-08-26,business,low,current,0
ACC000507,2022-02-16,retired,low,business,0
ACC000508,2026-06-10,salaried,low,business,0
ACC000509,2023-10-27,self_employed,low,current,0
ACC000510,2022-09-25,business,low,savings,0
ACC000511,2025-08-01,retired,low,current,0
ACC000512,2022-11-01,salaried,low,savings,0
ACC000513,2025-08-26,salaried,low,current,0
ACC000514,2026-03-21,retired,low,business,0
ACC000515,2026-06-15,self_employed,low,current,0
ACC000516,2024-05-25,retired,low,current,0
ACC000517,2025-06-19,business,low,business,0
ACC000518,2025-12-29,student,low,savings,0
ACC000519,2025-04-30,business,low,current,0
ACC000520,2026-05-12,student,medium,business,0
ACC000521,2025-06-29,business,medium,current,0
ACC000522,2023-01-20,salaried,low,savings,0
ACC000523,2025-09-26,student,low,business,0
ACC000524,2025-07-12,retired,low,business,0
ACC000525,2023-11-27,salaried,low,current,0
ACC000526,2023-10-21,student,medium,business,0
ACC000527,2024-01-22,business,low,business,0
ACC000528,2026-02-18,retired,low,savings,0
ACC000529,2025-10-27,student,low,savings,0
ACC000530,2023-09-26,student,medium,current,0
ACC000531,2024-01-14,self_employed,low,savings,0
ACC000532,2025-06-10,self_employed,low,savings,0
ACC000533,2022-05-11,business,medium,business,0
ACC000534,2024-02-17,business,low,current,0
ACC000535,2023-09-11,business,low,current,0
ACC000536,2024-01-05,self_employed,low,business,0
ACC000537,2024-07-22,business,medium,savings,0
ACC000538,2024-06-02,retired,low,current,0
ACC000539,2026-04-18,self_employed,high,business,0
ACC000540,2022-05-21,student,medium,current,0
ACC000541,2022-11-16,self_employed,low,current,0
ACC000542,2022-12-25,retired,medium,savings,0
ACC000543,2023-09-01,student,low,business,0
ACC000544,2024-12-16,retired,low,current,0
ACC000545,2022-12-31,retired,low,current,0
ACC000546,2023-07-09,self_employed,medium,business,0
ACC000547,2022-03-31,self_employed,medium,savings,0
ACC000548,2025-03-24,retired,medium,business,0
ACC000549,2025-03-02,salaried,medium,business,0
ACC000550,2024-07-07,salaried,low,savings,0
ACC000551,2026-04-25,student,low,business,0
ACC000552,2025-08-30,self_employed,medium,savings,0
ACC000553,2025-03-27,self_employed,medium,current,0
ACC000554,2022-03-25,salaried,low,current,0
ACC000555,2023-06-17,business,low,current,0
ACC000556,2025-04-10,salaried,low,savings,0
ACC000557,2025-01-05,student,medium,business,0
ACC000558,2026-09-01,student,medium,savings,0
ACC000559,2021-11-12,salaried,low,current,0
ACC000560,2026-08-06,self_employed,medium,current,0
ACC000561,2024-12-07,retired,low,savings,0
ACC000562,2025-10-03,salaried,low,savings,0
ACC000563,2021-10-01,business,medium,business,0
ACC000564,2024-09-09,business,low,current,0
ACC000565,2024-03-28,self_employed,low,savings,0
ACC000566,2025-01-06,self_employed,low,business,0
ACC000567,2025-04-06,retired,low,current,0
ACC000568,2026-04-12,business,low,business,0
ACC000569,2026-05-06,business,low,business,0
ACC000570,2023-07-30,self_employed,low,savings,0
ACC000571,2025-11-07,business,low,business,0
ACC000572,2023-07-26,retired,low,business,0
ACC000573,2024-01-08,salaried,low,current,0
ACC000574,2025-05-29,salaried,high,business,0
ACC000575,2025-10-30,business,medium,business,0
ACC000576,2021-12-12,business,low,current,0
ACC000577,2025-01-03,salaried,low,current,0
ACC000578,2024-07-23,student,medium,current,0
ACC000579,2025-02-20,salaried,low,business,0
ACC000580,2023-02-07,salaried,medium,business,0
ACC000581,2025-09-04,student,low,current,0
ACC000582,2022-10-14,business,low,business,0
ACC000583,2026-03-30,self_employed,medium,business,0
ACC000584,2021-12-05,retired,high,current,0
ACC000585,2025-01-19,self_employed,medium,savings,0
ACC000586,2026-07-02,retired,low,savings,0
ACC000587,2021-12-06,salaried,medium,savings,0
ACC000588,2022-05-31,student,medium,business,0
ACC000589,2025-05-06,retired,high,business,1
ACC000590,2022-11-08,retired,low,business,0
ACC000591,2025-08-17,self_employed,low,savings,0
ACC000592,2023-03-31,student,low,current,0
ACC000593,2022-02-16,retired,medium,business,0
ACC000594,2023-11-30,retired,medium,current,0
ACC000595,2024-12-03,student,high,current,0
ACC000596,2024-06-26,retired,low,business,0
ACC000597,2023-07-02,student,medium,business,0
ACC000598,2025-07-26,retired,low,business,0
ACC000599,2024-06-24,self_employed,low,current,0
ACC000600,2024-07-27,salaried,low,business,0
ACC000601,2024-12-03,student,low,business,0
ACC000602,2024-01-25,retired,low,current,0
ACC000603,2025-04-14,student,low,business,0
ACC000604,2023-11-05,student,low,current,0
ACC000605,2022-05-25,student,low,savings,0
ACC000606,2025-09-13,salaried,low,current,0
ACC000607,2021-11-12,student,low,business,0
ACC000608,2026-04-15,self_employed,high,savings,0
ACC000609,2022-02-21,business,low,current,0
ACC000610,2024-09-04,salaried,low,savings,0
ACC000611,2023-08-10,student,low,business,0
ACC000612,2022-04-14,salaried,low,business,0
ACC000613,2022-01-16,retired,medium,current,0
